,YEAR_invest,TECHNOLOGIES,TECHNOLOGIES,transInvest_Dvar
0,2040,IntercoOut,IntercoOut,0.0
1,2040,IntercoOut,CCG_H2,0.0
2,2040,IntercoOut,TAC,0.0
3,2040,IntercoOut,NewNuke,0.0
4,2040,IntercoOut,IntercoIn,0.0
5,2040,IntercoOut,HydroRiver,0.0
6,2040,IntercoOut,WindOffShore,0.0
7,2040,IntercoOut,electrolysis_AEL,0.0
8,2040,IntercoOut,curtailment,0.0
9,2040,IntercoOut,TAC_H2,0.0
10,2040,IntercoOut,CCG,0.0
11,2040,IntercoOut,OldNuke,0.0
12,2040,IntercoOut,Coal_p,0.0
13,2040,IntercoOut,Solar,0.0
14,2040,IntercoOut,HydroReservoir,0.0
15,2040,IntercoOut,WindOnShore,0.0
16,2040,CCG_H2,IntercoOut,0.0
17,2040,CCG_H2,CCG_H2,0.0
18,2040,CCG_H2,TAC,0.0
19,2040,CCG_H2,NewNuke,0.0
20,2040,CCG_H2,IntercoIn,0.0
21,2040,CCG_H2,HydroRiver,0.0
22,2040,CCG_H2,WindOffShore,0.0
23,2040,CCG_H2,electrolysis_AEL,0.0
24,2040,CCG_H2,curtailment,0.0
25,2040,CCG_H2,TAC_H2,0.0
26,2040,CCG_H2,CCG,0.0
27,2040,CCG_H2,OldNuke,0.0
28,2040,CCG_H2,Coal_p,0.0
29,2040,CCG_H2,Solar,0.0
30,2040,CCG_H2,HydroReservoir,0.0
31,2040,CCG_H2,WindOnShore,0.0
32,2040,TAC,IntercoOut,0.0
33,2040,TAC,CCG_H2,0.0
34,2040,TAC,TAC,0.0
35,2040,TAC,NewNuke,0.0
36,2040,TAC,IntercoIn,0.0
37,2040,TAC,HydroRiver,0.0
38,2040,TAC,WindOffShore,0.0
39,2040,TAC,electrolysis_AEL,0.0
40,2040,TAC,curtailment,0.0
41,2040,TAC,TAC_H2,0.0
42,2040,TAC,CCG,0.0
43,2040,TAC,OldNuke,0.0
44,2040,TAC,Coal_p,0.0
45,2040,TAC,Solar,0.0
46,2040,TAC,HydroReservoir,0.0
47,2040,TAC,WindOnShore,0.0
48,2040,NewNuke,IntercoOut,0.0
49,2040,NewNuke,CCG_H2,0.0
50,2040,NewNuke,TAC,0.0
51,2040,NewNuke,NewNuke,0.0
52,2040,NewNuke,IntercoIn,0.0
53,2040,NewNuke,HydroRiver,0.0
54,2040,NewNuke,WindOffShore,0.0
55,2040,NewNuke,electrolysis_AEL,0.0
56,2040,NewNuke,curtailment,0.0
57,2040,NewNuke,TAC_H2,0.0
58,2040,NewNuke,CCG,0.0
59,2040,NewNuke,OldNuke,0.0
60,2040,NewNuke,Coal_p,0.0
61,2040,NewNuke,Solar,0.0
62,2040,NewNuke,HydroReservoir,0.0
63,2040,NewNuke,WindOnShore,0.0
64,2040,IntercoIn,IntercoOut,0.0
65,2040,IntercoIn,CCG_H2,0.0
66,2040,IntercoIn,TAC,0.0
67,2040,IntercoIn,NewNuke,0.0
68,2040,IntercoIn,IntercoIn,0.0
69,2040,IntercoIn,HydroRiver,0.0
70,2040,IntercoIn,WindOffShore,0.0
71,2040,IntercoIn,electrolysis_AEL,0.0
72,2040,IntercoIn,curtailment,0.0
73,2040,IntercoIn,TAC_H2,0.0
74,2040,IntercoIn,CCG,0.0
75,2040,IntercoIn,OldNuke,0.0
76,2040,IntercoIn,Coal_p,0.0
77,2040,IntercoIn,Solar,0.0
78,2040,IntercoIn,HydroReservoir,0.0
79,2040,IntercoIn,WindOnShore,0.0
80,2040,HydroRiver,IntercoOut,0.0
81,2040,HydroRiver,CCG_H2,0.0
82,2040,HydroRiver,TAC,0.0
83,2040,HydroRiver,NewNuke,0.0
84,2040,HydroRiver,IntercoIn,0.0
85,2040,HydroRiver,HydroRiver,0.0
86,2040,HydroRiver,WindOffShore,0.0
87,2040,HydroRiver,electrolysis_AEL,0.0
88,2040,HydroRiver,curtailment,0.0
89,2040,HydroRiver,TAC_H2,0.0
90,2040,HydroRiver,CCG,0.0
91,2040,HydroRiver,OldNuke,0.0
92,2040,HydroRiver,Coal_p,0.0
93,2040,HydroRiver,Solar,0.0
94,2040,HydroRiver,HydroReservoir,0.0
95,2040,HydroRiver,WindOnShore,0.0
96,2040,WindOffShore,IntercoOut,0.0
97,2040,WindOffShore,CCG_H2,0.0
98,2040,WindOffShore,TAC,0.0
99,2040,WindOffShore,NewNuke,0.0
100,2040,WindOffShore,IntercoIn,0.0
101,2040,WindOffShore,HydroRiver,0.0
102,2040,WindOffShore,WindOffShore,0.0
103,2040,WindOffShore,electrolysis_AEL,0.0
104,2040,WindOffShore,curtailment,0.0
105,2040,WindOffShore,TAC_H2,0.0
106,2040,WindOffShore,CCG,0.0
107,2040,WindOffShore,OldNuke,0.0
108,2040,WindOffShore,Coal_p,0.0
109,2040,WindOffShore,Solar,0.0
110,2040,WindOffShore,HydroReservoir,0.0
111,2040,WindOffShore,WindOnShore,0.0
112,2040,electrolysis_AEL,IntercoOut,0.0
113,2040,electrolysis_AEL,CCG_H2,0.0
114,2040,electrolysis_AEL,TAC,0.0
115,2040,electrolysis_AEL,NewNuke,0.0
116,2040,electrolysis_AEL,IntercoIn,0.0
117,2040,electrolysis_AEL,HydroRiver,0.0
118,2040,electrolysis_AEL,WindOffShore,0.0
119,2040,electrolysis_AEL,electrolysis_AEL,0.0
120,2040,electrolysis_AEL,curtailment,0.0
121,2040,electrolysis_AEL,TAC_H2,0.0
122,2040,electrolysis_AEL,CCG,0.0
123,2040,electrolysis_AEL,OldNuke,0.0
124,2040,electrolysis_AEL,Coal_p,0.0
125,2040,electrolysis_AEL,Solar,0.0
126,2040,electrolysis_AEL,HydroReservoir,0.0
127,2040,electrolysis_AEL,WindOnShore,0.0
128,2040,curtailment,IntercoOut,0.0
129,2040,curtailment,CCG_H2,0.0
130,2040,curtailment,TAC,0.0
131,2040,curtailment,NewNuke,0.0
132,2040,curtailment,IntercoIn,0.0
133,2040,curtailment,HydroRiver,0.0
134,2040,curtailment,WindOffShore,0.0
135,2040,curtailment,electrolysis_AEL,0.0
136,2040,curtailment,curtailment,0.0
137,2040,curtailment,TAC_H2,0.0
138,2040,curtailment,CCG,0.0
139,2040,curtailment,OldNuke,0.0
140,2040,curtailment,Coal_p,0.0
141,2040,curtailment,Solar,0.0
142,2040,curtailment,HydroReservoir,0.0
143,2040,curtailment,WindOnShore,0.0
144,2040,TAC_H2,IntercoOut,0.0
145,2040,TAC_H2,CCG_H2,0.0
146,2040,TAC_H2,TAC,0.0
147,2040,TAC_H2,NewNuke,0.0
148,2040,TAC_H2,IntercoIn,0.0
149,2040,TAC_H2,HydroRiver,0.0
150,2040,TAC_H2,WindOffShore,0.0
151,2040,TAC_H2,electrolysis_AEL,0.0
152,2040,TAC_H2,curtailment,0.0
153,2040,TAC_H2,TAC_H2,0.0
154,2040,TAC_H2,CCG,0.0
155,2040,TAC_H2,OldNuke,0.0
156,2040,TAC_H2,Coal_p,0.0
157,2040,TAC_H2,Solar,0.0
158,2040,TAC_H2,HydroReservoir,0.0
159,2040,TAC_H2,WindOnShore,0.0
160,2040,CCG,IntercoOut,0.0
161,2040,CCG,CCG_H2,0.0
162,2040,CCG,TAC,0.0
163,2040,CCG,NewNuke,0.0
164,2040,CCG,IntercoIn,0.0
165,2040,CCG,HydroRiver,0.0
166,2040,CCG,WindOffShore,0.0
167,2040,CCG,electrolysis_AEL,0.0
168,2040,CCG,curtailment,0.0
169,2040,CCG,TAC_H2,0.0
170,2040,CCG,CCG,0.0
171,2040,CCG,OldNuke,0.0
172,2040,CCG,Coal_p,0.0
173,2040,CCG,Solar,0.0
174,2040,CCG,HydroReservoir,0.0
175,2040,CCG,WindOnShore,0.0
176,2040,OldNuke,IntercoOut,0.0
177,2040,OldNuke,CCG_H2,0.0
178,2040,OldNuke,TAC,0.0
179,2040,OldNuke,NewNuke,0.0
180,2040,OldNuke,IntercoIn,0.0
181,2040,OldNuke,HydroRiver,0.0
182,2040,OldNuke,WindOffShore,0.0
183,2040,OldNuke,electrolysis_AEL,0.0
184,2040,OldNuke,curtailment,0.0
185,2040,OldNuke,TAC_H2,0.0
186,2040,OldNuke,CCG,0.0
187,2040,OldNuke,OldNuke,0.0
188,2040,OldNuke,Coal_p,0.0
189,2040,OldNuke,Solar,0.0
190,2040,OldNuke,HydroReservoir,0.0
191,2040,OldNuke,WindOnShore,0.0
192,2040,Coal_p,IntercoOut,0.0
193,2040,Coal_p,CCG_H2,0.0
194,2040,Coal_p,TAC,0.0
195,2040,Coal_p,NewNuke,0.0
196,2040,Coal_p,IntercoIn,0.0
197,2040,Coal_p,HydroRiver,0.0
198,2040,Coal_p,WindOffShore,0.0
199,2040,Coal_p,electrolysis_AEL,0.0
200,2040,Coal_p,curtailment,0.0
201,2040,Coal_p,TAC_H2,0.0
202,2040,Coal_p,CCG,0.0
203,2040,Coal_p,OldNuke,0.0
204,2040,Coal_p,Coal_p,0.0
205,2040,Coal_p,Solar,0.0
206,2040,Coal_p,HydroReservoir,0.0
207,2040,Coal_p,WindOnShore,0.0
208,2040,Solar,IntercoOut,0.0
209,2040,Solar,CCG_H2,0.0
210,2040,Solar,TAC,0.0
211,2040,Solar,NewNuke,0.0
212,2040,Solar,IntercoIn,0.0
213,2040,Solar,HydroRiver,0.0
214,2040,Solar,WindOffShore,0.0
215,2040,Solar,electrolysis_AEL,0.0
216,2040,Solar,curtailment,0.0
217,2040,Solar,TAC_H2,0.0
218,2040,Solar,CCG,0.0
219,2040,Solar,OldNuke,0.0
220,2040,Solar,Coal_p,0.0
221,2040,Solar,Solar,0.0
222,2040,Solar,HydroReservoir,0.0
223,2040,Solar,WindOnShore,0.0
224,2040,HydroReservoir,IntercoOut,0.0
225,2040,HydroReservoir,CCG_H2,0.0
226,2040,HydroReservoir,TAC,0.0
227,2040,HydroReservoir,NewNuke,0.0
228,2040,HydroReservoir,IntercoIn,0.0
229,2040,HydroReservoir,HydroRiver,0.0
230,2040,HydroReservoir,WindOffShore,0.0
231,2040,HydroReservoir,electrolysis_AEL,0.0
232,2040,HydroReservoir,curtailment,0.0
233,2040,HydroReservoir,TAC_H2,0.0
234,2040,HydroReservoir,CCG,0.0
235,2040,HydroReservoir,OldNuke,0.0
236,2040,HydroReservoir,Coal_p,0.0
237,2040,HydroReservoir,Solar,0.0
238,2040,HydroReservoir,HydroReservoir,0.0
239,2040,HydroReservoir,WindOnShore,0.0
240,2040,WindOnShore,IntercoOut,0.0
241,2040,WindOnShore,CCG_H2,0.0
242,2040,WindOnShore,TAC,0.0
243,2040,WindOnShore,NewNuke,0.0
244,2040,WindOnShore,IntercoIn,0.0
245,2040,WindOnShore,HydroRiver,0.0
246,2040,WindOnShore,WindOffShore,0.0
247,2040,WindOnShore,electrolysis_AEL,0.0
248,2040,WindOnShore,curtailment,0.0
249,2040,WindOnShore,TAC_H2,0.0
250,2040,WindOnShore,CCG,0.0
251,2040,WindOnShore,OldNuke,0.0
252,2040,WindOnShore,Coal_p,0.0
253,2040,WindOnShore,Solar,0.0
254,2040,WindOnShore,HydroReservoir,0.0
255,2040,WindOnShore,WindOnShore,0.0
256,2010,IntercoOut,IntercoOut,0.0
257,2010,IntercoOut,CCG_H2,0.0
258,2010,IntercoOut,TAC,0.0
259,2010,IntercoOut,NewNuke,0.0
260,2010,IntercoOut,IntercoIn,0.0
261,2010,IntercoOut,HydroRiver,0.0
262,2010,IntercoOut,WindOffShore,0.0
263,2010,IntercoOut,electrolysis_AEL,0.0
264,2010,IntercoOut,curtailment,0.0
265,2010,IntercoOut,TAC_H2,0.0
266,2010,IntercoOut,CCG,0.0
267,2010,IntercoOut,OldNuke,0.0
268,2010,IntercoOut,Coal_p,0.0
269,2010,IntercoOut,Solar,0.0
270,2010,IntercoOut,HydroReservoir,0.0
271,2010,IntercoOut,WindOnShore,0.0
272,2010,CCG_H2,IntercoOut,0.0
273,2010,CCG_H2,CCG_H2,0.0
274,2010,CCG_H2,TAC,0.0
275,2010,CCG_H2,NewNuke,0.0
276,2010,CCG_H2,IntercoIn,0.0
277,2010,CCG_H2,HydroRiver,0.0
278,2010,CCG_H2,WindOffShore,0.0
279,2010,CCG_H2,electrolysis_AEL,0.0
280,2010,CCG_H2,curtailment,0.0
281,2010,CCG_H2,TAC_H2,0.0
282,2010,CCG_H2,CCG,0.0
283,2010,CCG_H2,OldNuke,0.0
284,2010,CCG_H2,Coal_p,0.0
285,2010,CCG_H2,Solar,0.0
286,2010,CCG_H2,HydroReservoir,0.0
287,2010,CCG_H2,WindOnShore,0.0
288,2010,TAC,IntercoOut,0.0
289,2010,TAC,CCG_H2,0.0
290,2010,TAC,TAC,0.0
291,2010,TAC,NewNuke,0.0
292,2010,TAC,IntercoIn,0.0
293,2010,TAC,HydroRiver,0.0
294,2010,TAC,WindOffShore,0.0
295,2010,TAC,electrolysis_AEL,0.0
296,2010,TAC,curtailment,0.0
297,2010,TAC,TAC_H2,0.0
298,2010,TAC,CCG,0.0
299,2010,TAC,OldNuke,0.0
300,2010,TAC,Coal_p,0.0
301,2010,TAC,Solar,0.0
302,2010,TAC,HydroReservoir,0.0
303,2010,TAC,WindOnShore,0.0
304,2010,NewNuke,IntercoOut,0.0
305,2010,NewNuke,CCG_H2,0.0
306,2010,NewNuke,TAC,0.0
307,2010,NewNuke,NewNuke,0.0
308,2010,NewNuke,IntercoIn,0.0
309,2010,NewNuke,HydroRiver,0.0
310,2010,NewNuke,WindOffShore,0.0
311,2010,NewNuke,electrolysis_AEL,0.0
312,2010,NewNuke,curtailment,0.0
313,2010,NewNuke,TAC_H2,0.0
314,2010,NewNuke,CCG,0.0
315,2010,NewNuke,OldNuke,0.0
316,2010,NewNuke,Coal_p,0.0
317,2010,NewNuke,Solar,0.0
318,2010,NewNuke,HydroReservoir,0.0
319,2010,NewNuke,WindOnShore,0.0
320,2010,IntercoIn,IntercoOut,0.0
321,2010,IntercoIn,CCG_H2,0.0
322,2010,IntercoIn,TAC,0.0
323,2010,IntercoIn,NewNuke,0.0
324,2010,IntercoIn,IntercoIn,0.0
325,2010,IntercoIn,HydroRiver,0.0
326,2010,IntercoIn,WindOffShore,0.0
327,2010,IntercoIn,electrolysis_AEL,0.0
328,2010,IntercoIn,curtailment,0.0
329,2010,IntercoIn,TAC_H2,0.0
330,2010,IntercoIn,CCG,0.0
331,2010,IntercoIn,OldNuke,0.0
332,2010,IntercoIn,Coal_p,0.0
333,2010,IntercoIn,Solar,0.0
334,2010,IntercoIn,HydroReservoir,0.0
335,2010,IntercoIn,WindOnShore,0.0
336,2010,HydroRiver,IntercoOut,0.0
337,2010,HydroRiver,CCG_H2,0.0
338,2010,HydroRiver,TAC,0.0
339,2010,HydroRiver,NewNuke,0.0
340,2010,HydroRiver,IntercoIn,0.0
341,2010,HydroRiver,HydroRiver,0.0
342,2010,HydroRiver,WindOffShore,0.0
343,2010,HydroRiver,electrolysis_AEL,0.0
344,2010,HydroRiver,curtailment,0.0
345,2010,HydroRiver,TAC_H2,0.0
346,2010,HydroRiver,CCG,0.0
347,2010,HydroRiver,OldNuke,0.0
348,2010,HydroRiver,Coal_p,0.0
349,2010,HydroRiver,Solar,0.0
350,2010,HydroRiver,HydroReservoir,0.0
351,2010,HydroRiver,WindOnShore,0.0
352,2010,WindOffShore,IntercoOut,0.0
353,2010,WindOffShore,CCG_H2,0.0
354,2010,WindOffShore,TAC,0.0
355,2010,WindOffShore,NewNuke,0.0
356,2010,WindOffShore,IntercoIn,0.0
357,2010,WindOffShore,HydroRiver,0.0
358,2010,WindOffShore,WindOffShore,0.0
359,2010,WindOffShore,electrolysis_AEL,0.0
360,2010,WindOffShore,curtailment,0.0
361,2010,WindOffShore,TAC_H2,0.0
362,2010,WindOffShore,CCG,0.0
363,2010,WindOffShore,OldNuke,0.0
364,2010,WindOffShore,Coal_p,0.0
365,2010,WindOffShore,Solar,0.0
366,2010,WindOffShore,HydroReservoir,0.0
367,2010,WindOffShore,WindOnShore,0.0
368,2010,electrolysis_AEL,IntercoOut,0.0
369,2010,electrolysis_AEL,CCG_H2,0.0
370,2010,electrolysis_AEL,TAC,0.0
371,2010,electrolysis_AEL,NewNuke,0.0
372,2010,electrolysis_AEL,IntercoIn,0.0
373,2010,electrolysis_AEL,HydroRiver,0.0
374,2010,electrolysis_AEL,WindOffShore,0.0
375,2010,electrolysis_AEL,electrolysis_AEL,0.0
376,2010,electrolysis_AEL,curtailment,0.0
377,2010,electrolysis_AEL,TAC_H2,0.0
378,2010,electrolysis_AEL,CCG,0.0
379,2010,electrolysis_AEL,OldNuke,0.0
380,2010,electrolysis_AEL,Coal_p,0.0
381,2010,electrolysis_AEL,Solar,0.0
382,2010,electrolysis_AEL,HydroReservoir,0.0
383,2010,electrolysis_AEL,WindOnShore,0.0
384,2010,curtailment,IntercoOut,0.0
385,2010,curtailment,CCG_H2,0.0
386,2010,curtailment,TAC,0.0
387,2010,curtailment,NewNuke,0.0
388,2010,curtailment,IntercoIn,0.0
389,2010,curtailment,HydroRiver,0.0
390,2010,curtailment,WindOffShore,0.0
391,2010,curtailment,electrolysis_AEL,0.0
392,2010,curtailment,curtailment,0.0
393,2010,curtailment,TAC_H2,0.0
394,2010,curtailment,CCG,0.0
395,2010,curtailment,OldNuke,0.0
396,2010,curtailment,Coal_p,0.0
397,2010,curtailment,Solar,0.0
398,2010,curtailment,HydroReservoir,0.0
399,2010,curtailment,WindOnShore,0.0
400,2010,TAC_H2,IntercoOut,0.0
401,2010,TAC_H2,CCG_H2,0.0
402,2010,TAC_H2,TAC,0.0
403,2010,TAC_H2,NewNuke,0.0
404,2010,TAC_H2,IntercoIn,0.0
405,2010,TAC_H2,HydroRiver,0.0
406,2010,TAC_H2,WindOffShore,0.0
407,2010,TAC_H2,electrolysis_AEL,0.0
408,2010,TAC_H2,curtailment,0.0
409,2010,TAC_H2,TAC_H2,0.0
410,2010,TAC_H2,CCG,0.0
411,2010,TAC_H2,OldNuke,0.0
412,2010,TAC_H2,Coal_p,0.0
413,2010,TAC_H2,Solar,0.0
414,2010,TAC_H2,HydroReservoir,0.0
415,2010,TAC_H2,WindOnShore,0.0
416,2010,CCG,IntercoOut,0.0
417,2010,CCG,CCG_H2,0.0
418,2010,CCG,TAC,0.0
419,2010,CCG,NewNuke,0.0
420,2010,CCG,IntercoIn,0.0
421,2010,CCG,HydroRiver,0.0
422,2010,CCG,WindOffShore,0.0
423,2010,CCG,electrolysis_AEL,0.0
424,2010,CCG,curtailment,0.0
425,2010,CCG,TAC_H2,0.0
426,2010,CCG,CCG,0.0
427,2010,CCG,OldNuke,0.0
428,2010,CCG,Coal_p,0.0
429,2010,CCG,Solar,0.0
430,2010,CCG,HydroReservoir,0.0
431,2010,CCG,WindOnShore,0.0
432,2010,OldNuke,IntercoOut,0.0
433,2010,OldNuke,CCG_H2,0.0
434,2010,OldNuke,TAC,0.0
435,2010,OldNuke,NewNuke,0.0
436,2010,OldNuke,IntercoIn,0.0
437,2010,OldNuke,HydroRiver,0.0
438,2010,OldNuke,WindOffShore,0.0
439,2010,OldNuke,electrolysis_AEL,0.0
440,2010,OldNuke,curtailment,0.0
441,2010,OldNuke,TAC_H2,0.0
442,2010,OldNuke,CCG,0.0
443,2010,OldNuke,OldNuke,0.0
444,2010,OldNuke,Coal_p,0.0
445,2010,OldNuke,Solar,0.0
446,2010,OldNuke,HydroReservoir,0.0
447,2010,OldNuke,WindOnShore,0.0
448,2010,Coal_p,IntercoOut,0.0
449,2010,Coal_p,CCG_H2,0.0
450,2010,Coal_p,TAC,0.0
451,2010,Coal_p,NewNuke,0.0
452,2010,Coal_p,IntercoIn,0.0
453,2010,Coal_p,HydroRiver,0.0
454,2010,Coal_p,WindOffShore,0.0
455,2010,Coal_p,electrolysis_AEL,0.0
456,2010,Coal_p,curtailment,0.0
457,2010,Coal_p,TAC_H2,0.0
458,2010,Coal_p,CCG,0.0
459,2010,Coal_p,OldNuke,0.0
460,2010,Coal_p,Coal_p,0.0
461,2010,Coal_p,Solar,0.0
462,2010,Coal_p,HydroReservoir,0.0
463,2010,Coal_p,WindOnShore,0.0
464,2010,Solar,IntercoOut,0.0
465,2010,Solar,CCG_H2,0.0
466,2010,Solar,TAC,0.0
467,2010,Solar,NewNuke,0.0
468,2010,Solar,IntercoIn,0.0
469,2010,Solar,HydroRiver,0.0
470,2010,Solar,WindOffShore,0.0
471,2010,Solar,electrolysis_AEL,0.0
472,2010,Solar,curtailment,0.0
473,2010,Solar,TAC_H2,0.0
474,2010,Solar,CCG,0.0
475,2010,Solar,OldNuke,0.0
476,2010,Solar,Coal_p,0.0
477,2010,Solar,Solar,0.0
478,2010,Solar,HydroReservoir,0.0
479,2010,Solar,WindOnShore,0.0
480,2010,HydroReservoir,IntercoOut,0.0
481,2010,HydroReservoir,CCG_H2,0.0
482,2010,HydroReservoir,TAC,0.0
483,2010,HydroReservoir,NewNuke,0.0
484,2010,HydroReservoir,IntercoIn,0.0
485,2010,HydroReservoir,HydroRiver,0.0
486,2010,HydroReservoir,WindOffShore,0.0
487,2010,HydroReservoir,electrolysis_AEL,0.0
488,2010,HydroReservoir,curtailment,0.0
489,2010,HydroReservoir,TAC_H2,0.0
490,2010,HydroReservoir,CCG,0.0
491,2010,HydroReservoir,OldNuke,0.0
492,2010,HydroReservoir,Coal_p,0.0
493,2010,HydroReservoir,Solar,0.0
494,2010,HydroReservoir,HydroReservoir,0.0
495,2010,HydroReservoir,WindOnShore,0.0
496,2010,WindOnShore,IntercoOut,0.0
497,2010,WindOnShore,CCG_H2,0.0
498,2010,WindOnShore,TAC,0.0
499,2010,WindOnShore,NewNuke,0.0
500,2010,WindOnShore,IntercoIn,0.0
501,2010,WindOnShore,HydroRiver,0.0
502,2010,WindOnShore,WindOffShore,0.0
503,2010,WindOnShore,electrolysis_AEL,0.0
504,2010,WindOnShore,curtailment,0.0
505,2010,WindOnShore,TAC_H2,0.0
506,2010,WindOnShore,CCG,0.0
507,2010,WindOnShore,OldNuke,0.0
508,2010,WindOnShore,Coal_p,0.0
509,2010,WindOnShore,Solar,0.0
510,2010,WindOnShore,HydroReservoir,0.0
511,2010,WindOnShore,WindOnShore,0.0
512,2020,IntercoOut,IntercoOut,0.0
