YEAR_op;SMR w/o CCUS;SMR + CCUS 50%;SMR + CCUS 90%;feedBiogas;Alkaline electrolysis;PEM electrolysis;importsH2;importBM;curtailment;totalProd;carbon;total_carbon;costs;total_costs;scenario;order;;0;1;2;3;4;5;6;7;8;9;;
2020;3595,237309;0;0;0;0;0;0;0;0;3595,237309;8,684437659;936678428,5;1,530540216;165079658,6;scenario_15_PACA;0;;0;1;2;3;4;5;6;7;8;9;;
2030;0;4602,207712;0;0;0;0;0;0;0;4602,207712;3,955095802;546065172;1,763248845;243445123;scenario_15_PACA;0;;2492232485;2655027984;2225888076;2010927267;2002301991;1431761317;1152254792;1063077327;1012515520;978441962,9;;
2040;0;4602,207712;1289,007249;0;0;0;0;0;0;5891,214962;3,272113288;578301682,7;1,930474812;341185262,9;scenario_15_PACA;0;;20702,45998;20702,45998;20702,45998;20702,45998;20702,45998;20702,45998;20702,45998;20702,45998;20702,45998;20702,45998;;
2050;3,082095899;3232,144532;1847,493702;0;1530,798586;0;0,281083735;0;0;6613,8;2,173169239;431187201,5;2,247302539;445896286;scenario_15_PACA;0;;4,012779941;4,274899354;3,583934917;3,237823377;3,223935694;2,305299818;1,855262277;1,711676338;1,630266034;1,575403702;;
2020;3595,237309;0;0;0;0;0;0;0;0;3595,237309;8,684437659;936678428,5;1,530540216;165079658,6;scenario_20_PACA;1;;;;;;;;;;;;;
2030;7,12E-17;4602,207712;0;0;-4,69E-16;-1,73E-16;-6,46E-18;0;0;4602,207712;3,955095802;546065172;1,983248845;273819693,9;scenario_20_PACA;1;;546065172;546065172;566685661,1;867754180,4;980436296,4;453638556,2;191440938,1;117824369,1;68450781,17;41751152,19;;4602,207712
2040;0;5891,214962;0;0;0;0;0;0;0;5891,214962;3,954365267;698880474,8;2,149246664;379850223,1;scenario_20_PACA;1;;578301682,7;698880474,8;499561088,3;206494658,2;85187265,98;41444332,18;24135425,02;8574529,134;7386310,108;12382,25914;;5891,214962
2050;30,25691852;3916,228206;0;0;2659,088873;0;8,226002949;0;0;6613,8;2,385940048;473403908,8;2,40644708;477472791;scenario_20_PACA;1;;431187201,5;473403908,8;222962898,3;1,72428E-05;3,3378E-06;7,27652E-07;3,07348E-07;-9,66175E-12;3,18057E-12;3,61779E-12;;6613,8
2020;3595,237309;0;0;0;0;0;0;0;0;3595,237309;8,684437659;936678428,5;1,530540216;165079658,6;scenario_30_PACA;2;;1555554056;1718349556;1289209648;1074248839;1065623562;495082888,4;215576363,1;126398898,2;75837091,28;41763534,45;;17107,22267
2030;145,3590431;4456,848669;0;0;4,21E-15;3,63E-16;1,97E-16;0;0;4602,207712;4,104447956;566685661,1;2,425049154;334817397,6;scenario_30_PACA;2;;;;;;;;;;;;;
2040;287,2871523;3571,417694;7,89E-34;0;2024,842478;1,39E-16;7,667637467;0;0;5891,214962;2,82658779;499561088,3;2,500338394;441900928,7;scenario_30_PACA;2;;3,030988891;3,348195064;2,512018212;2,093168208;2,076361902;0,964666402;0,420049409;0,246287588;0,147768173;0,081376027;;
2050;136,4452567;2678,553786;0;493,3677796;3734,109815;0;64,69114257;645,7876588;0;6613,8;1,123725636;222962898,3;2,688286632;533393703,7;scenario_30_PACA;2;;;;;;;;;;;;;
2020;3595,237309;0;0;0;0;0;0;0;0;3595,237309;8,684437659;936678428,5;1,530540216;165079658,6;scenario_40_PACA;3;;;;;;;;;;;;;
2030;2267,667189;2334,540524;0;0;0;0;0;0;0;4602,207712;6,285057337;867754180,4;2,884764684;398288588,4;scenario_40_PACA;3;;;;;;;;;;;;;
2040;614,4188699;1458,614491;0;486,5536876;3782,463665;1,26E-32;35,71793595;629,0795152;0;5891,214962;1,168376187;206494658,2;2,589239777;457613043,4;scenario_40_PACA;3;;;;;;;;;;;;;
2050;552,9101497;1235,749383;-8,53E-17;1101,839457;4743,308656;-2,84E-17;81,83181087;1432,311677;0;6613,8;8,69E-14;1,72E-05;2,861009805;567664399,5;scenario_40_PACA;3;;;;;;;;;;;;;
2020;3595,237309;0;0;0;0;0;0;0;0;3595,237309;8,684437659;936678428,5;1,530540216;165079658,6;scenario_50_PACA;4;;;;;;;;;;;;;
2030;3840,23862;606,9539889;0;346,7556357;149,5926878;-4,25E-18;5,422415651;452,9053201;0;4602,207712;7,10120271;980436296,4;3,297500138;455273417;scenario_50_PACA;4;;;;;;;;;;;;;
2040;1156,680199;341,7799054;0;979,1980287;4366,542114;0;26,2127428;1266,033815;0;5891,214962;0,482001684;85187265,98;2,644193226;467325320,9;scenario_50_PACA;4;;;;;;;;;;;;;
2050;1021,747572;321,0584889;0;1165,537883;5232,260156;0;38,73378326;1497,640103;0;6613,8;1,68E-14;3,34E-06;2,895299446;574467944,3;scenario_50_PACA;4;;;;;;;;;;;;;
2020;3595,237309;0;0;0;0;0;0;0;0;3595,237309;8,684437659;936678428,5;1,530540216;165079658,6;scenario_60_PACA;5;;;;;;;;;;;;;
2030;2334,562417;5,36E-32;0;594,3708599;2211,545381;0;56,0999144;776,3211231;0;4602,207712;3,285659004;453638556,2;3,470973817;479224274,1;scenario_60_PACA;5;;;;;;;;;;;;;
2040;1241,895074;0;0;1074,199483;4564,261709;0;85,0581789;1388,863978;0;5891,214962;0,234497934;41444332,18;2,776097406;490637597,2;scenario_60_PACA;5;;;;;;;;;;;;;
2050;1114,472663;145,9254919;0;1179,195321;5333,709708;0;19,69213778;1511,958917;0;6613,8;3,67E-15;7,28E-07;2,888672106;573152987,3;scenario_60_PACA;5;;;;;;;;;;;;;
2020;3595,237309;0;0;0;0;0;0;0;0;3595,237309;8,684437659;936678428,5;1,530540216;165079658,6;scenario_70_PACA;6;;0,281083735;8,226002949;72,35878004;117,5497468;70,36894172;160,8502311;213,4135225;206,4443188;191,1192463;191,4894739;;
2030;1719,500085;0;0;975,1146307;2783,195674;0;99,51195321;1273,619109;0;4602,207712;1,386587699;191440938,1;3,527417696;487017267,7;scenario_70_PACA;6;;2492232485;2655027984;2225888076;2010927267;2002301991;1431761317;1152254792;1063077327;1012515520;978441962,9;;
2040;1139,704424;0;0;1037,678796;4657,26975;0;94,24078812;1341,645312;0;5891,214962;0,136561672;24135425,02;2,819588984;498324144,2;scenario_70_PACA;6;;20702,45998;20702,45998;20702,45998;20702,45998;20702,45998;20702,45998;20702,45998;20702,45998;20702,45998;20702,45998;;
2050;1154,022485;87,66375954;0;1192,765082;5352,452974;0;19,66078118;1528,289008;0;6613,8;1,55E-15;3,07E-07;2,90184252;575766181,7;scenario_70_PACA;6;;4,012779941;4,274899354;3,583934917;3,237823377;3,223935694;50 \\;1,855262277;1,711676338;1,630266034;1,575403702;;
2020;3595,237309;0;0;0;0;0;0;0;0;3595,237309;8,684437659;936678428,5;1,530540216;165079658,6;scenario_80_PACA;7;;;;;;;;;;;;;
2030;1569,594187;1,26E-32;0;1101,237989;2949,228829;0;83,38469608;1438,351659;0;4602,207712;0,853390202;117824369,1;3,551792567;490382614,4;scenario_80_PACA;7;;;;;;;;;;;;;
2040;1105,425136;0;0;1062,108496;4682,132272;0;103,6575547;1373,231186;0;5891,214962;0,048515907;8574529,134;2,838432294;501654444;scenario_80_PACA;7;;;;;;;;;;;;;
2050;1233,566272;0,00070063;0;1233,566972;5360,83096;0;19,40206802;1578,965753;0;6613,8;0;-9,66E-12;2,907046617;576798747,4;scenario_80_PACA;7;;;;;;;;;;;;;
2020;3595,237309;0;0;0;0;0;0;0;0;3595,237309;8,684437659;936678428,5;1,530540216;165079658,6;scenario_90_PACA;8;;;;;;;;;;;;;
2030;1489,773418;0;0;1205,647234;3044,082189;0;68,35210561;1574,722918;0;4602,207712;0,495782209;68450781,17;3,56375509;492034234,8;scenario_90_PACA;8;;;;;;;;;;;;;
2040;1091,227354;0;0;1052,392984;4696,622535;0;103,3650727;1360,669716;0;5891,214962;0,041792795;7386310,108;2,852573989;504153796,9;scenario_90_PACA;8;;;;;;;;;;;;;
2050;1233,566272;0,00070063;5,78E-21;1233,566972;5360,83096;0;19,40206802;1578,965753;0;6613,8;1,60E-20;3,18E-12;2,910787018;577540895,4;scenario_90_PACA;8;;;;;;;;;;;;;
2020;3595,237309;0;0;0;0;0;0;0;0;3595,237309;8,684437659;936678428,5;1,530540216;165079658,6;scenario_100_PACA;9;;;;;;;;;;;;;
2030;1478,352448;0;0;1293,288352;3055,553647;0;68,30161746;1689,19295;0;4602,207712;0,302399448;41751152,19;3,581891051;494538198,6;scenario_100_PACA;9;;;;;;;;;;;;;
2040;1087,960802;0;0;1077,081194;4699,468372;1,70E-18;103,7857884;1392,589826;0;5891,214962;7,01E-05;12382,25914;2,855887724;504739454,6;scenario_100_PACA;9;;;;;;;;;;;;;
2050;1233,566272;0,00070063;-1,29E-18;1233,566972;5360,83096;0;19,40206802;1578,965753;0;6613,8;1,82E-20;3,62E-12;2,910426215;577469307,1;scenario_100_PACA;9;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
